left_idx,w,V_count,P_count,C_count,H_count,S_prune,S_contain,D_count_max,V_search,P_search,B_mid,B_leaf,B_subtree,m,M_point,M_subtree,rho,sigma,avg_subtree_mass
0,21,34,14,3,17,4954,12,12,31,14,6,0,3,9,6,15,2.33333,0.714286,5
1,26,56,22,6,28,4932,12,12,50,22,8,0,6,14,8,18,1.85714,0.692308,3
2,22,80,34,6,40,4909,11,12,74,34,5,0,6,11,5,17,2,0.772727,2.83333
3,19,36,14,4,18,4956,8,12,32,14,7,0,4,11,7,12,1.72727,0.631579,3
4,21,55,19,7,29,4942,3,12,48,19,11,0,7,18,11,10,1.16667,0.47619,1.42857
5,22,59,22,7,30,4934,7,12,52,22,8,0,7,15,8,14,1.46667,0.636364,2
6,15,41,15,6,20,4954,5,11,35,15,4,0,6,10,4,11,1.5,0.733333,1.83333
7,18,55,20,6,29,4942,3,12,49,20,9,0,6,15,9,9,1.2,0.5,1.5
8,9,28,11,3,14,4969,3,12,25,11,3,0,3,6,3,6,1.5,0.666667,2
9,20,57,19,8,30,4939,4,12,49,19,8,0,8,16,8,12,1.25,0.6,1.5
10,13,41,17,3,21,4958,1,12,38,17,9,0,3,12,9,4,1.08333,0.307692,1.33333
11,13,52,23,3,26,4940,8,12,49,23,2,0,3,5,2,11,2.6,0.846154,3.66667
12,30,60,24,6,30,4926,14,12,54,24,10,0,6,16,10,20,1.875,0.666667,3.33333
13,24,57,21,7,29,4933,10,12,50,21,7,0,7,14,7,17,1.71429,0.708333,2.42857
14,20,33,11,6,16,4957,10,11,27,11,4,0,6,10,4,16,2,0.8,2.66667
15,7,23,10,2,11,4973,4,11,21,10,1,0,2,3,1,6,2.33333,0.857143,3
16,16,49,19,5,25,4948,3,12,44,19,8,0,5,13,8,8,1.23077,0.5,1.6
17,20,64,26,5,33,4928,8,12,59,26,7,0,5,12,7,13,1.66667,0.65,2.6
18,20,46,19,4,23,4947,7,12,42,19,9,0,4,13,9,11,1.53846,0.55,2.75
19,20,50,19,5,26,4944,6,12,45,19,9,0,5,14,9,11,1.42857,0.55,2.2
20,20,40,19,1,20,4943,17,12,39,19,2,0,1,3,2,18,6.66667,0.9,18
21,16,44,18,4,22,4950,6,12,40,18,6,0,4,10,6,10,1.6,0.625,2.5
22,15,55,22,5,28,4941,4,12,50,22,6,0,5,11,6,9,1.36364,0.6,1.8
23,17,45,17,6,22,4948,7,11,39,17,4,0,6,10,4,13,1.7,0.764706,2.16667
24,21,51,19,6,26,4944,5,12,45,19,10,0,6,16,10,11,1.3125,0.52381,1.83333
25,22,64,24,8,32,4931,5,12,56,24,9,0,8,17,9,13,1.29412,0.590909,1.625
26,15,28,9,5,14,4966,6,12,23,9,4,0,5,9,4,11,1.66667,0.733333,2.2
27,16,63,26,5,32,4932,5,12,58,26,6,0,5,11,6,10,1.45455,0.625,2
28,24,70,27,8,35,4920,10,12,62,27,6,0,8,14,6,18,1.71429,0.75,2.25
29,24,49,16,8,25,4938,13,12,41,16,3,0,8,11,3,21,2.18182,0.875,2.625
30,11,37,16,3,18,4956,7,11,34,16,1,0,3,4,1,10,2.75,0.909091,3.33333
31,28,44,12,9,23,4946,10,12,35,12,9,0,9,18,9,19,1.55556,0.678571,2.11111
32,16,51,21,4,26,4944,5,12,47,21,7,0,4,11,7,9,1.45455,0.5625,2.25
33,19,38,14,5,19,4954,8,12,33,14,6,0,5,11,6,13,1.72727,0.684211,2.6
34,20,50,20,5,25,4943,7,12,45,20,8,0,5,13,8,12,1.53846,0.6,2.4
35,20,58,19,9,30,4937,5,12,49,19,6,0,9,15,6,14,1.33333,0.7,1.55556
36,21,43,16,5,22,4949,8,12,38,16,8,0,5,13,8,13,1.61538,0.619048,2.6
37,18,54,20,6,28,4941,5,12,48,20,7,0,6,13,7,11,1.38462,0.611111,1.83333
38,7,34,15,2,17,4963,3,12,32,15,2,0,2,4,2,5,1.75,0.714286,2.5
39,16,41,16,5,20,4954,5,11,36,16,6,0,5,11,6,10,1.45455,0.625,2
40,21,57,18,9,30,4938,5,12,48,18,7,0,9,16,7,14,1.3125,0.666667,1.55556
41,25,67,25,7,35,4927,6,12,60,25,12,0,7,19,12,13,1.31579,0.52,1.85714
42,21,58,23,4,31,4938,4,12,54,23,13,0,4,17,13,8,1.23529,0.380952,2
43,20,35,11,7,17,4955,10,11,28,11,3,0,7,10,3,17,2,0.85,2.42857
44,22,49,17,6,26,4942,9,12,43,17,7,0,6,13,7,15,1.69231,0.681818,2.5
45,22,59,22,6,31,4937,4,12,53,22,12,0,6,18,12,10,1.22222,0.454545,1.66667
46,23,60,22,7,31,4935,5,12,53,22,11,0,7,18,11,12,1.27778,0.521739,1.71429
47,14,45,18,4,23,4949,6,12,41,18,4,0,4,8,4,10,1.75,0.714286,2.5
48,22,73,31,5,37,4921,6,12,68,31,11,0,5,16,11,11,1.375,0.5,2.2
49,15,57,21,7,29,4941,2,12,50,21,6,0,7,13,6,9,1.15385,0.6,1.28571
50,19,65,24,8,33,4930,5,12,57,24,6,0,8,14,6,13,1.35714,0.684211,1.625
51,25,74,29,8,37,4918,8,12,66,29,9,0,8,17,9,16,1.47059,0.64,2
52,13,51,22,3,26,4946,3,12,48,22,7,0,3,10,7,6,1.3,0.461538,2
53,20,60,23,7,30,4933,7,12,53,23,6,0,7,13,6,14,1.53846,0.7,2
54,27,63,24,6,33,4928,9,12,57,24,12,0,6,18,12,15,1.5,0.555556,2.5
55,20,17,8,1,8,4966,17,8,16,8,2,0,1,3,2,18,6.66667,0.9,18
56,14,54,20,6,28,4944,2,12,48,20,6,0,6,12,6,8,1.16667,0.571429,1.33333
57,22,40,15,5,20,4950,10,12,35,15,7,0,5,12,7,15,1.83333,0.681818,3
58,19,52,20,5,27,4942,6,12,47,20,8,0,5,13,8,11,1.46154,0.578947,2.2
59,18,39,15,5,19,4952,9,11,34,15,4,0,5,9,4,14,2,0.777778,2.8
60,18,41,17,4,20,4951,8,11,37,17,6,0,4,10,6,12,1.8,0.666667,3
