run_id,depth,node_count,edge_count,edge_p50,edge_p90,edge_p99,vol_p50,vol_p90,vol_p99
chunk_d2_N20000_a10_t3000000_F0_rep0,2,4,16,0.491857,0.497589,0.499695,0.0585725,0.0600961,0.0603647
chunk_d2_N20000_a10_t3000000_F0_rep0,3,8,32,0.368247,0.498826,0.499537,0.0148555,0.0150676,0.015072
chunk_d2_N20000_a10_t3000000_F0_rep0,4,16,64,0.24599,0.251302,0.252051,0.00367281,0.00384909,0.00394091
chunk_d2_N20000_a10_t3000000_F0_rep0,5,32,128,0.182135,0.249693,0.251472,0.000893583,0.00100585,0.00106087
chunk_d2_N20000_a10_t3000000_F0_rep0,6,64,256,0.122538,0.127685,0.130018,0.000225169,0.000254869,0.000283294
chunk_d2_N20000_a10_t3000000_F0_rep0,7,128,512,0.0895603,0.126243,0.129709,5.3862e-05,6.71634e-05,7.81606e-05
chunk_d2_N20000_a10_t3000000_F0_rep0,8,256,1024,0.0602131,0.0661048,0.0711908,1.30779e-05,1.69895e-05,2.14206e-05
chunk_d2_N20000_a10_t3000000_F0_rep0,9,512,2048,0.0415083,0.0630214,0.0702807,2.88115e-06,4.22475e-06,5.81328e-06
chunk_d2_N20000_a10_t3000000_F0_rep0,10,1024,4096,0.0274705,0.0338923,0.0394856,5.65327e-07,1.01822e-06,1.55498e-06
chunk_d2_N20000_a10_t3000000_F0_rep0,11,2048,8192,0.0171073,0.0293783,0.0369925,7.98827e-08,2.06834e-07,3.84742e-07
chunk_d2_N20000_a10_t3000000_F0_rep0,12,4096,16384,0.00852351,0.0149388,0.0212458,4.76688e-09,2.65493e-08,7.95811e-08
chunk_d2_N20000_a10_t3000000_F0_rep0,13,8192,32768,0.0,0.00635108,0.0143109,0.0,4.93097e-10,6.68595e-09
chunk_d2_N20000_a10_t3000000_F0_rep0,14,3617,14468,0.0,0.0,0.0,0.0,0.0,0.0
chunk_d2_N20000_a10_t3000000_F0_rep1,0,1,4,0.984077,0.984113,0.984113,0.937811,0.937811,0.937811
chunk_d2_N20000_a10_t3000000_F0_rep1,1,2,8,0.7388,0.984041,0.984041,0.234417,0.235636,0.235911
chunk_d2_N20000_a10_t3000000_F0_rep1,2,4,16,0.492,0.495315,0.496958,0.05818,0.0597068,0.0601407
chunk_d2_N20000_a10_t3000000_F0_rep1,3,8,32,0.368271,0.49652,0.496958,0.0144773,0.0152271,0.0152478
chunk_d2_N20000_a10_t3000000_F0_rep1,4,16,64,0.246007,0.249932,0.258441,0.00366924,0.00384806,0.00392282
chunk_d2_N20000_a10_t3000000_F0_rep1,5,32,128,0.180289,0.248354,0.257888,0.000913478,0.000978773,0.00099074
chunk_d2_N20000_a10_t3000000_F0_rep1,6,64,256,0.122229,0.127592,0.132884,0.00022385,0.000249998,0.000279697
chunk_d2_N20000_a10_t3000000_F0_rep1,7,128,512,0.0902102,0.126161,0.132648,5.49595e-05,6.79029e-05,7.22274e-05
chunk_d2_N20000_a10_t3000000_F0_rep1,8,256,1024,0.0600925,0.0663924,0.0722595,1.29476e-05,1.7757e-05,2.08661e-05
chunk_d2_N20000_a10_t3000000_F0_rep1,9,512,2048,0.0415487,0.0638929,0.0704883,2.86542e-06,4.38843e-06,6.09092e-06
chunk_d2_N20000_a10_t3000000_F0_rep1,10,1024,4096,0.0274728,0.0342408,0.0412275,5.70779e-07,1.04347e-06,1.64781e-06
chunk_d2_N20000_a10_t3000000_F0_rep1,11,2048,8192,0.0170478,0.0296651,0.0381395,8.08089e-08,2.19825e-07,4.06335e-07
chunk_d2_N20000_a10_t3000000_F0_rep1,12,4096,16384,0.00851114,0.0150289,0.0207731,4.65472e-09,2.66645e-08,8.103e-08
chunk_d2_N20000_a10_t3000000_F0_rep1,13,8192,32768,0.0,0.00616783,0.0140988,0.0,4.47133e-10,6.3028e-09
chunk_d2_N20000_a10_t3000000_F0_rep1,14,3617,14468,0.0,0.0,0.0,0.0,0.0,0.0
chunk_d2_N20000_a10_t3000000_F1_rep0,0,1,4,0.993949,0.995156,0.995469,0.976218,0.976218,0.976218
chunk_d2_N20000_a10_t3000000_F1_rep0,1,2,8,0.765221,0.992888,0.993486,0.254992,0.259131,0.260063
chunk_d2_N20000_a10_t3000000_F1_rep0,2,4,16,0.50379,0.535267,0.541717,0.0659487,0.068727,0.0696521
chunk_d2_N20000_a10_t3000000_F1_rep0,3,8,32,0.390158,0.50962,0.53846,0.0167753,0.0196884,0.0200886
chunk_d2_N20000_a10_t3000000_F1_rep0,4,16,64,0.256148,0.288979,0.317761,0.00438266,0.0055609,0.00660383
chunk_d2_N20000_a10_t3000000_F1_rep0,5,32,128,0.214818,0.274073,0.310407,0.00128044,0.00167029,0.00229798
chunk_d2_N20000_a10_t3000000_F1_rep0,6,64,256,0.133909,0.160517,0.181649,0.000348965,0.000451106,0.000543552
chunk_d2_N20000_a10_t3000000_F1_rep0,7,128,512,0.109578,0.144736,0.170317,0.000100898,0.000138483,0.000213191
chunk_d2_N20000_a10_t3000000_F1_rep0,8,256,1024,0.0704822,0.0907616,0.114691,2.64108e-05,4.19377e-05,5.6315e-05
chunk_d2_N20000_a10_t3000000_F1_rep0,9,512,2048,0.056243,0.0767077,0.103286,7.13183e-06,1.27102e-05,2.13563e-05
chunk_d2_N20000_a10_t3000000_F1_rep0,10,1024,4096,0.0349046,0.051562,0.0723634,1.61407e-06,3.23912e-06,5.46782e-06
chunk_d2_N20000_a10_t3000000_F1_rep0,11,2048,8192,0.023965,0.0389181,0.0583672,2.86757e-07,7.6069e-07,1.61895e-06
chunk_d2_N20000_a10_t3000000_F1_rep0,12,4096,16384,0.0123935,0.0238624,0.0412382,2.04247e-08,1.01999e-07,2.89757e-07
chunk_d2_N20000_a10_t3000000_F1_rep0,13,8192,32768,0.0,0.0101051,0.0235982,0.0,2.08791e-09,2.26179e-08
chunk_d2_N20000_a10_t3000000_F1_rep0,14,3617,14468,0.0,0.0,0.0,0.0,0.0,0.0
chunk_d2_N20000_a10_t3000000_F1_rep1,0,1,4,0.994823,0.995392,0.995419,0.97852,0.97852,0.97852
chunk_d2_N20000_a10_t3000000_F1_rep1,1,2,8,0.766383,0.994814,0.995273,0.256701,0.260151,0.260927
chunk_d2_N20000_a10_t3000000_F1_rep1,2,4,16,0.504856,0.527586,0.538625,0.0660513,0.0680698,0.0685062
chunk_d2_N20000_a10_t3000000_F1_rep1,3,8,32,0.422572,0.513179,0.527807,0.0185721,0.021893,0.0231461
chunk_d2_N20000_a10_t3000000_F1_rep1,4,16,64,0.256336,0.285075,0.338499,0.00476685,0.0058597,0.00663286
chunk_d2_N20000_a10_t3000000_F1_rep1,5,32,128,0.232574,0.273185,0.288559,0.00127937,0.00168946,0.0022915
chunk_d2_N20000_a10_t3000000_F1_rep1,6,64,256,0.135248,0.159194,0.183751,0.000350164,0.000483523,0.000647077
chunk_d2_N20000_a10_t3000000_F1_rep1,7,128,512,0.115481,0.144449,0.167976,0.000100705,0.000151071,0.000204903
chunk_d2_N20000_a10_t3000000_F1_rep1,8,256,1024,0.0704949,0.0926864,0.115792,2.6787e-05,4.09018e-05,5.88533e-05
chunk_d2_N20000_a10_t3000000_F1_rep1,9,512,2048,0.0558521,0.0757182,0.0999096,7.02114e-06,1.33207e-05,1.94157e-05
chunk_d2_N20000_a10_t3000000_F1_rep1,10,1024,4096,0.0347207,0.0510163,0.0704198,1.58312e-06,3.20496e-06,5.51419e-06
chunk_d2_N20000_a10_t3000000_F1_rep1,11,2048,8192,0.0238439,0.0388241,0.0603062,2.87015e-07,7.52965e-07,1.5645e-06
chunk_d2_N20000_a10_t3000000_F1_rep1,12,4096,16384,0.0124152,0.023673,0.0403391,2.02687e-08,1.01223e-07,3.01952e-07
chunk_d2_N20000_a10_t3000000_F1_rep1,13,8192,32768,0.0,0.0103365,0.02366,0.0,2.34578e-09,2.7225e-08
chunk_d2_N20000_a10_t3000000_F1_rep1,14,3617,14468,0.0,0.0,0.0,0.0,0.0,0.0
chunk_d2_N20000_a10_t500000_F0_rep0,0,1,4,0.984068,0.984141,0.984141,0.937779,0.937779,0.937779
chunk_d2_N20000_a10_t500000_F0_rep0,1,2,8,0.738025,0.984104,0.984104,0.234374,0.234392,0.234396
chunk_d2_N20000_a10_t500000_F0_rep0,2,4,16,0.491857,0.497589,0.499695,0.0585725,0.0600961,0.0603647
chunk_d2_N20000_a10_t500000_F0_rep0,3,8,32,0.368247,0.498826,0.499537,0.0148555,0.0150676,0.015072
chunk_d2_N20000_a10_t500000_F0_rep0,4,16,64,0.24599,0.251302,0.252051,0.00367281,0.00384909,0.00394091
chunk_d2_N20000_a10_t500000_F0_rep0,5,32,128,0.182135,0.249693,0.251472,0.000893583,0.00100585,0.00106087
chunk_d2_N20000_a10_t500000_F0_rep0,6,64,256,0.122538,0.127685,0.130018,0.000225169,0.000254869,0.000283294
chunk_d2_N20000_a10_t500000_F0_rep0,7,128,512,0.0895603,0.126243,0.129709,5.3862e-05,6.71634e-05,7.81606e-05
chunk_d2_N20000_a10_t500000_F0_rep0,8,256,1024,0.0602131,0.0661048,0.0711908,1.30779e-05,1.69895e-05,2.14206e-05
chunk_d2_N20000_a10_t500000_F0_rep0,9,512,2048,0.0415083,0.0630214,0.0702807,2.88115e-06,4.22475e-06,5.81328e-06
chunk_d2_N20000_a10_t500000_F0_rep0,10,1024,4096,0.0274705,0.0338923,0.0394856,5.65327e-07,1.01822e-06,1.55498e-06
chunk_d2_N20000_a10_t500000_F0_rep0,11,2048,8192,0.0171073,0.0293783,0.0369925,7.98827e-08,2.06834e-07,3.84742e-07
chunk_d2_N20000_a10_t500000_F0_rep0,12,4096,16384,0.00852351,0.0149388,0.0212458,4.76688e-09,2.65493e-08,7.95811e-08
chunk_d2_N20000_a10_t500000_F0_rep0,13,8192,32768,0.0,0.00635108,0.0143109,0.0,4.93097e-10,6.68595e-09
chunk_d2_N20000_a10_t500000_F0_rep0,14,3617,14468,0.0,0.0,0.0,0.0,0.0,0.0
chunk_d2_N20000_a10_t500000_F0_rep1,0,1,4,0.984077,0.984113,0.984113,0.937811,0.937811,0.937811
chunk_d2_N20000_a10_t500000_F0_rep1,1,2,8,0.7388,0.984041,0.984041,0.234417,0.235636,0.235911
chunk_d2_N20000_a10_t500000_F0_rep1,2,4,16,0.492,0.495315,0.496958,0.05818,0.0597068,0.0601407
chunk_d2_N20000_a10_t500000_F0_rep1,3,8,32,0.368271,0.49652,0.496958,0.0144773,0.0152271,0.0152478
chunk_d2_N20000_a10_t500000_F0_rep1,4,16,64,0.246007,0.249932,0.258441,0.00366924,0.00384806,0.00392282
chunk_d2_N20000_a10_t500000_F0_rep1,5,32,128,0.180289,0.248354,0.257888,0.000913478,0.000978773,0.00099074
chunk_d2_N20000_a10_t500000_F0_rep1,6,64,256,0.122229,0.127592,0.132884,0.00022385,0.000249998,0.000279697
chunk_d2_N20000_a10_t500000_F0_rep1,7,128,512,0.0902102,0.126161,0.132648,5.49595e-05,6.79029e-05,7.22274e-05
chunk_d2_N20000_a10_t500000_F0_rep1,8,256,1024,0.0600925,0.0663924,0.0722595,1.29476e-05,1.7757e-05,2.08661e-05
chunk_d2_N20000_a10_t500000_F0_rep1,9,512,2048,0.0415487,0.0638929,0.0704883,2.86542e-06,4.38843e-06,6.09092e-06
chunk_d2_N20000_a10_t500000_F0_rep1,10,1024,4096,0.0274728,0.0342408,0.0412275,5.70779e-07,1.04347e-06,1.64781e-06
chunk_d2_N20000_a10_t500000_F0_rep1,11,2048,8192,0.0170478,0.0296651,0.0381395,8.08089e-08,2.19825e-07,4.06335e-07
chunk_d2_N20000_a10_t500000_F0_rep1,12,4096,16384,0.00851114,0.0150289,0.0207731,4.65472e-09,2.66645e-08,8.103e-08
chunk_d2_N20000_a10_t500000_F0_rep1,13,8192,32768,0.0,0.00616783,0.0140988,0.0,4.47133e-10,6.3028e-09
chunk_d2_N20000_a10_t500000_F0_rep1,14,3617,14468,0.0,0.0,0.0,0.0,0.0,0.0
chunk_d2_N20000_a10_t500000_F1_rep0,0,1,4,0.993949,0.995156,0.995469,0.976218,0.976218,0.976218
chunk_d2_N20000_a10_t500000_F1_rep0,1,2,8,0.765221,0.992888,0.993486,0.254992,0.259131,0.260063
chunk_d2_N20000_a10_t500000_F1_rep0,2,4,16,0.50379,0.535267,0.541717,0.0659487,0.068727,0.0696521
chunk_d2_N20000_a10_t500000_F1_rep0,3,8,32,0.390158,0.50962,0.53846,0.0167753,0.0196884,0.0200886
chunk_d2_N20000_a10_t500000_F1_rep0,4,16,64,0.256148,0.288979,0.317761,0.00438266,0.0055609,0.00660383
chunk_d2_N20000_a10_t500000_F1_rep0,5,32,128,0.214818,0.274073,0.310407,0.00128044,0.00167029,0.00229798
chunk_d2_N20000_a10_t500000_F1_rep0,6,64,256,0.133909,0.160517,0.181649,0.000348965,0.000451106,0.000543552
chunk_d2_N20000_a10_t500000_F1_rep0,7,128,512,0.109578,0.144736,0.170317,0.000100898,0.000138483,0.000213191
chunk_d2_N20000_a10_t500000_F1_rep0,8,256,1024,0.0704822,0.0907616,0.114691,2.64108e-05,4.19377e-05,5.6315e-05
chunk_d2_N20000_a10_t500000_F1_rep0,9,512,2048,0.056243,0.0767077,0.103286,7.13183e-06,1.27102e-05,2.13563e-05
chunk_d2_N20000_a10_t500000_F1_rep0,10,1024,4096,0.0349046,0.051562,0.0723634,1.61407e-06,3.23912e-06,5.46782e-06
chunk_d2_N20000_a10_t500000_F1_rep0,11,2048,8192,0.023965,0.0389181,0.0583672,2.86757e-07,7.6069e-07,1.61895e-06
chunk_d2_N20000_a10_t500000_F1_rep0,12,4096,16384,0.0123935,0.0238624,0.0412382,2.04247e-08,1.01999e-07,2.89757e-07
chunk_d2_N20000_a10_t500000_F1_rep0,13,8192,32768,0.0,0.0101051,0.0235982,0.0,2.08791e-09,2.26179e-08
chunk_d2_N20000_a10_t500000_F1_rep0,14,3617,14468,0.0,0.0,0.0,0.0,0.0,0.0
chunk_d2_N20000_a10_t500000_F1_rep1,0,1,4,0.994823,0.995392,0.995419,0.97852,0.97852,0.97852
chunk_d2_N20000_a10_t500000_F1_rep1,1,2,8,0.766383,0.994814,0.995273,0.256701,0.260151,0.260927
chunk_d2_N20000_a10_t500000_F1_rep1,2,4,16,0.504856,0.527586,0.538625,0.0660513,0.0680698,0.0685062
chunk_d2_N20000_a10_t500000_F1_rep1,3,8,32,0.422572,0.513179,0.527807,0.0185721,0.021893,0.0231461
chunk_d2_N20000_a10_t500000_F1_rep1,4,16,64,0.256336,0.285075,0.338499,0.00476685,0.0058597,0.00663286
chunk_d2_N20000_a10_t500000_F1_rep1,5,32,128,0.232574,0.273185,0.288559,0.00127937,0.00168946,0.0022915
chunk_d2_N20000_a10_t500000_F1_rep1,6,64,256,0.135248,0.159194,0.183751,0.000350164,0.000483523,0.000647077
chunk_d2_N20000_a10_t500000_F1_rep1,7,128,512,0.115481,0.144449,0.167976,0.000100705,0.000151071,0.000204903
chunk_d2_N20000_a10_t500000_F1_rep1,8,256,1024,0.0704949,0.0926864,0.115792,2.6787e-05,4.09018e-05,5.88533e-05
chunk_d2_N20000_a10_t500000_F1_rep1,9,512,2048,0.0558521,0.0757182,0.0999096,7.02114e-06,1.33207e-05,1.94157e-05
chunk_d2_N20000_a10_t500000_F1_rep1,10,1024,4096,0.0347207,0.0510163,0.0704198,1.58312e-06,3.20496e-06,5.51419e-06
chunk_d2_N20000_a10_t500000_F1_rep1,11,2048,8192,0.0238439,0.0388241,0.0603062,2.87015e-07,7.52965e-07,1.5645e-06
chunk_d2_N20000_a10_t500000_F1_rep1,12,4096,16384,0.0124152,0.023673,0.0403391,2.02687e-08,1.01223e-07,3.01952e-07
chunk_d2_N20000_a10_t500000_F1_rep1,13,8192,32768,0.0,0.0103365,0.02366,0.0,2.34578e-09,2.7225e-08
chunk_d2_N20000_a10_t500000_F1_rep1,14,3617,14468,0.0,0.0,0.0,0.0,0.0,0.0
chunk_d5_N20000_a10_t2000000_F0_rep0,0,1,10,0.881268,0.881341,0.881341,0.282489,0.282489,0.282489
chunk_d5_N20000_a10_t2000000_F0_rep0,1,2,20,0.881091,0.881314,0.881341,0.0705433,0.0706899,0.0707229
chunk_d5_N20000_a10_t2000000_F0_rep0,2,4,40,0.880724,0.881286,0.881341,0.0175597,0.0177716,0.0178161
chunk_d5_N20000_a10_t2000000_F0_rep0,3,8,80,0.443907,0.881106,0.881341,0.00441122,0.00453219,0.00453958
chunk_d5_N20000_a10_t2000000_F0_rep0,4,16,160,0.441059,0.880628,0.881258,0.00107264,0.00117133,0.00119786
chunk_d5_N20000_a10_t2000000_F0_rep0,5,32,320,0.43914,0.448815,0.461309,0.000266336,0.000291877,0.000308038
chunk_d5_N20000_a10_t2000000_F0_rep0,6,64,640,0.434964,0.447978,0.459286,6.43365e-05,7.29768e-05,8.17214e-05
chunk_d5_N20000_a10_t2000000_F0_rep0,7,128,1280,0.425603,0.445505,0.4583,1.50346e-05,1.87107e-05,2.20169e-05
chunk_d5_N20000_a10_t2000000_F0_rep0,8,256,2560,0.227738,0.439684,0.452928,3.23846e-06,4.49202e-06,5.85964e-06
chunk_d5_N20000_a10_t2000000_F0_rep0,9,512,5120,0.214137,0.420757,0.4457,6.23203e-07,9.95105e-07,1.3214e-06
chunk_d5_N20000_a10_t2000000_F0_rep0,10,1024,10240,0.198434,0.227427,0.257137,8.57294e-08,1.72592e-07,2.69469e-07
chunk_d5_N20000_a10_t2000000_F0_rep0,11,2048,20480,0.166055,0.212352,0.247184,5.69702e-09,1.87282e-08,4.32406e-08
chunk_d5_N20000_a10_t2000000_F0_rep0,12,4096,40960,0.0967462,0.177616,0.227271,3.70659e-11,4.62689e-10,2.20743e-09
chunk_d5_N20000_a10_t2000000_F0_rep0,13,8192,81920,0.0,0.0798506,0.169904,0.0,7.26318e-14,7.09052e-12
chunk_d5_N20000_a10_t2000000_F0_rep0,14,3617,36170,0.0,0.0,0.0,0.0,0.0,0.0
chunk_d5_N20000_a10_t2000000_F0_rep1,0,1,10,0.881322,0.881362,0.881362,0.282721,0.282721,0.282721
chunk_d5_N20000_a10_t2000000_F0_rep1,1,2,20,0.881294,0.881355,0.881357,0.0706499,0.0709115,0.0709704
chunk_d5_N20000_a10_t2000000_F0_rep1,2,4,40,0.880997,0.881261,0.881322,0.0175862,0.0181614,0.0182331
chunk_d5_N20000_a10_t2000000_F0_rep1,3,8,80,0.446189,0.881099,0.881322,0.00435889,0.00463141,0.00463441
chunk_d5_N20000_a10_t2000000_F0_rep1,4,16,160,0.441495,0.879911,0.881091,0.0010949,0.00118015,0.00119932
chunk_d5_N20000_a10_t2000000_F0_rep1,5,32,320,0.439258,0.446681,0.467058,0.000273215,0.000292002,0.000311715
chunk_d5_N20000_a10_t2000000_F0_rep1,6,64,640,0.433929,0.446175,0.466804,6.51688e-05,7.2148e-05,7.93773e-05
chunk_d5_N20000_a10_t2000000_F0_rep1,7,128,1280,0.427359,0.443076,0.462134,1.491e-05,1.86476e-05,2.06831e-05
chunk_d5_N20000_a10_t2000000_F0_rep1,8,256,2560,0.226813,0.437184,0.456697,3.3236e-06,4.56977e-06,5.78947e-06
