depth,node_count,edge_count,edge_p50,edge_p90,edge_p99,vol_p50,vol_p90,vol_p99
0,1,4,0.994823,0.995392,0.995419,0.97852,0.97852,0.97852
1,2,8,0.766383,0.994814,0.995273,0.256701,0.260151,0.260927
2,4,16,0.504856,0.527586,0.538625,0.0660513,0.0680698,0.0685062
3,8,32,0.422572,0.513179,0.527807,0.0185721,0.021893,0.0231461
4,16,64,0.256336,0.285075,0.338499,0.00476685,0.0058597,0.00663286
5,32,128,0.232574,0.273185,0.288559,0.00127937,0.00168946,0.0022915
6,64,256,0.135248,0.159194,0.183751,0.000350164,0.000483523,0.000647077
7,128,512,0.115481,0.144449,0.167976,0.000100705,0.000151071,0.000204903
8,256,1024,0.0704949,0.0926864,0.115792,2.6787e-05,4.09018e-05,5.88533e-05
9,512,2048,0.0558521,0.0757182,0.0999096,7.02114e-06,1.33207e-05,1.94157e-05
10,1024,4096,0.0347207,0.0510163,0.0704198,1.58312e-06,3.20496e-06,5.51419e-06
11,2048,8192,0.0238439,0.0388241,0.0603062,2.87015e-07,7.52965e-07,1.5645e-06
12,4096,16384,0.0124152,0.023673,0.0403391,2.02687e-08,1.01223e-07,3.01952e-07
13,8192,32768,0,0.0103365,0.02366,0,2.34578e-09,2.7225e-08
14,3617,14468,0,0,0,0,0,0
